[ 2016-01-05T21:02:01+08:00 ] /?m=Agent&a=index&pid=1 | SQL: SELECT `id`,`projectId`,`en_name`,`cn_name` FROM `gt_project_agent` WHERE projectId = 1 ORDER BY id desc [ RunTime:0.000100s ]
[ 2016-01-05T21:02:01+08:00 ] /?m=Agent&a=index&pid=1 | NOTIC: [8] Undefined index: gt_uname 49911e3ce71b4510dda615283121d865.php 第 38 行.
[ 2016-01-05T21:02:01+08:00 ] /?m=Agent&a=index&pid=1 | NOTIC: [8] Undefined index: pitch 49911e3ce71b4510dda615283121d865.php 第 43 行.
[ 2016-01-05T21:02:01+08:00 ] /?m=Index&a=verify | SQL: SHOW COLUMNS FROM `gt_project_agent` [ RunTime:0.003529s ]
[ 2016-01-05T21:02:01+08:00 ] /?m=Index&a=verify | SQL: SELECT * FROM `gt_project_agent` [ RunTime:0.000167s ]
[ 2016-01-05T21:02:01+08:00 ] /?m=Index&a=verify | NOTIC: [8] Undefined index: pitch CommonAction.class.php 第 39 行.
[ 2016-01-05T21:02:01+08:00 ] /?m=Index&a=verify | SQL: SHOW COLUMNS FROM `gt_project_server` [ RunTime:0.003317s ]
[ 2016-01-05T21:02:01+08:00 ] /?m=Index&a=verify | SQL: SELECT * FROM `gt_project_server` WHERE  `recommend` = 1  LIMIT 5  [ RunTime:0.000126s ]
[ 2016-01-05T21:02:07+08:00 ] /?m=Article&a=index&pid=6 | SQL: SHOW COLUMNS FROM `gt_project_agent` [ RunTime:0.003363s ]
[ 2016-01-05T21:02:07+08:00 ] /?m=Article&a=index&pid=6 | SQL: SELECT * FROM `gt_project_agent` [ RunTime:0.000179s ]
[ 2016-01-05T21:02:07+08:00 ] /?m=Article&a=index&pid=6 | NOTIC: [8] Undefined index: pitch CommonAction.class.php 第 39 行.
[ 2016-01-05T21:02:07+08:00 ] /?m=Article&a=index&pid=6 | SQL: SHOW COLUMNS FROM `gt_project_server` [ RunTime:0.003209s ]
[ 2016-01-05T21:02:07+08:00 ] /?m=Article&a=index&pid=6 | SQL: SELECT * FROM `gt_project_server` WHERE  `recommend` = 1  LIMIT 5  [ RunTime:0.000172s ]
[ 2016-01-05T21:02:07+08:00 ] /?m=Article&a=index&pid=6 | SQL: SHOW COLUMNS FROM `gt_project_category` [ RunTime:0.003180s ]
[ 2016-01-05T21:02:07+08:00 ] /?m=Article&a=index&pid=6 | SQL: SELECT `id`,`pid`,`cateName` FROM `gt_project_category` WHERE ( `id` = 6 ) LIMIT 1  [ RunTime:0.000133s ]
[ 2016-01-05T21:02:07+08:00 ] /?m=Article&a=index&pid=6 | SQL: SELECT * FROM `gt_project_category` WHERE ( `pid` = '1' ) [ RunTime:0.000127s ]
[ 2016-01-05T21:02:07+08:00 ] /?m=Article&a=index&pid=6 | SQL: SHOW COLUMNS FROM `gt_project_article` [ RunTime:0.003283s ]
